nohup: les entrées sont ignorées

  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/

 :: Spring Boot ::                (v3.3.4)

2024-11-09T07:49:31.297Z  INFO 54944 --- [backendwave] [           main] com.backendwave.BackendwaveApplication   : Starting BackendwaveApplication v0.0.1-SNAPSHOT using Java 21.0.4 with PID 54944 (/home/gueye/Documents/FLUTTER_JAVA/backendWaveJava/target/backendwave-0.0.1-SNAPSHOT.jar started by gueye in /home/gueye/Documents/FLUTTER_JAVA/backendWaveJava)
2024-11-09T07:49:31.313Z  INFO 54944 --- [backendwave] [           main] com.backendwave.BackendwaveApplication   : No active profile set, falling back to 1 default profile: "default"
2024-11-09T07:49:34.001Z  INFO 54944 --- [backendwave] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-11-09T07:49:34.141Z  INFO 54944 --- [backendwave] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 128 ms. Found 10 JPA repository interfaces.
2024-11-09T07:49:35.442Z  INFO 54944 --- [backendwave] [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8081 (http)
2024-11-09T07:49:35.472Z  INFO 54944 --- [backendwave] [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-11-09T07:49:35.473Z  INFO 54944 --- [backendwave] [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.30]
2024-11-09T07:49:35.536Z  INFO 54944 --- [backendwave] [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-11-09T07:49:35.538Z  INFO 54944 --- [backendwave] [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 4048 ms
2024-11-09T07:49:37.167Z  INFO 54944 --- [backendwave] [           main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
2024-11-09T07:49:37.243Z  INFO 54944 --- [backendwave] [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2024-11-09T07:49:48.076Z  INFO 54944 --- [backendwave] [           main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@92fd091
2024-11-09T07:49:48.078Z  INFO 54944 --- [backendwave] [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2024-11-09T07:49:51.280Z  INFO 54944 --- [backendwave] [           main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-11-09T07:49:52.231Z  INFO 54944 --- [backendwave] [           main] o.s.d.j.r.query.QueryEnhancerFactory     : Hibernate is in classpath; If applicable, HQL parser will be used.
Application en marche
